"drug" "test.cindex" "train.cindex" "testindex.sd" "trainindex.sd" "genecount"
"10255" 0.58002027229653 0.947631241068459 0.166177628876214 0.0286802234568319 64
"10263" 0.556513185491459 0.684795284629321 0.220125768779626 0.0193716488112601 11
"10267" 0.605023148148148 0.760081774408452 0.193220964810457 0.0133971662319034 14
"10270" 0.622429393523144 0.684886230035232 0.189893483668674 0.0208784347428297 10
"10273" 0.551065728051015 0.707162367004312 0.155856024226363 0.017603530705423 18
"10279" 0.544185620566663 0.69505424783903 0.0730309558138653 0.011006568615525 13
"10281" 0.561277393346596 0.697694308791447 0.105854961318502 0.0144267791777763 13
"10282" 0.531600482524778 0.690096238463478 0.115005119425795 0.0185548551098809 13
"10284" 0.570429638698863 0.673935649444346 0.207274271436409 0.0216396561088911 14
"10285" 0.487305115597916 0.979238460957471 0.132743270195074 0.0067839192571214 159
"10289" 0.559372183805383 0.739557817952795 0.210494886405679 0.0204310451703292 19
"10304" 0.554030918444455 0.848386038530333 0.185361388313705 0.0164831081990414 48
"10310" 0.573798939007484 0.685467678116319 0.0917206000442481 0.0187089192475324 11
"10311" 0.542311931205215 0.690451336046606 0.171253051076326 0.0186554312127847 11
"10313" 0.58319830601245 0.686103242537117 0.116277317362943 0.0171315260187541 11
"10318" 0.562454383047947 0.821937377399945 0.184975666252506 0.0130817406968641 28
"10336" 0.520225256713016 0.703512316050007 0.179329037120559 0.018276275722992 13
"10337" 0.515609085786072 0.747790482343668 0.177842250274799 0.0189752044105226 23
"10340" 0.475777140900806 0.844358444052392 0.171292032491319 0.0150298307843662 47
"10342" 0.564950787123311 0.837130495280248 0.226812263164901 0.0175950418369562 38
"10343" 0.539333054525982 0.68603586851712 0.149689475595209 0.0220158161035382 16
"10344" 0.617431392431392 0.711409148755257 0.091221084292197 0.0195031388032272 12
"10346" 0.521572135711846 0.644478930411656 0.187941535245898 0.0277833370713328 11
"10351" 0.594534221775667 0.695270410199291 0.157184245680615 0.0200838003676642 10
"10352" 0.560440296127845 0.701663340967515 0.132126335282212 0.0167176505087013 13
"10354" 0.538967044869125 0.680035275483891 0.139764112576481 0.0177234551540197 10
"10364" 0.540937190914064 0.717474141171282 0.199893747586455 0.0198769944994198 17
"10378" 0.368898827623042 0.911644151272711 0.146599201103069 0.019726491376218 65
"10383" 0.558903784014049 0.659333886575043 0.170925990310157 0.0271368058836494 12
"10385" 0.46435982190398 0.913954758604257 0.181950659056954 0.0215362428660116 64
"10388" 0.580397929920956 0.724941762989095 0.15383532878596 0.0230676268118659 14
"10391" 0.525977723155886 0.969309899242469 0.102313530631676 0.00690133170244554 137
"10393" 0.576728551440093 0.82298962877059 0.155851294395298 0.0158890906091214 26
"10394" 0.487639620429826 0.792864367053193 0.174453214344096 0.0140373179505831 31
"10399" 0.545056065715697 0.726236334733947 0.089269880460359 0.0144497101886914 22
"10401" 0.558772376256769 0.690430365978181 0.120031171246616 0.0157768028220469 12
"10405" 0.537962448501937 0.961459789854565 0.16599045548358 0.0125286190592481 128
"10406" 0.582865077804887 0.707040854656804 0.172430442791938 0.0194261261054265 13
"10407" 0.491546314052678 0.642496010279911 0.123542187728425 0.0303827240863331 20
"10408" 0.532979658821014 0.970374491844568 0.173570893928414 0.00696944612151215 146
"10409" 0.51051670616888 0.721033088492052 0.142273740762728 0.0206647184783766 18
"10410" 0.427178055973122 0.659546528666452 0.154663466843926 0.0281815415642393 14
"10411" 0.579177281235856 0.645811320284545 0.197270111854403 0.0233966155208279 9
"10415" 0.483377501791175 0.632341280781191 0.177364683975636 0.0277130808951419 12
"10422" 0.555170756449261 0.733242612337059 0.201948026495987 0.0288712712692172 23
"10426" 0.606240643913383 0.967383251911111 0.162192745056601 0.0363060644760116 81
"10434" 0.561301254651317 0.658944699669672 0.16107917956943 0.0252708779388141 13
"10440" 0.623706402859424 0.674304626727308 0.158631676191358 0.0227188354132496 11
"10441" 0.485504423996024 0.953158294294612 0.14015011442447 0.0360455863985917 103
"10453" 0.505986746764579 0.76607588382203 0.162197135225433 0.0272756583030757 30
"10454" 0.506961138630768 0.701061364544447 0.136406402355507 0.0270939427920761 26
"10467" 0.538711943695324 0.665850980498272 0.131289060550011 0.0105053342113599 14
"10469" 0.53614413859482 0.691247903333052 0.174213244811674 0.0260961633725312 19
"10470" 0.491832218971701 0.58232603247451 0.123166761498308 0.0185594598249177 8
"10475" 0.501843576904626 0.574673016042753 0.176712942381253 0.0178125260634752 8
"10503" 0.417530292803881 0.611006116536596 0.0994746217549431 0.0175021339733899 11
"10509" 0.500798760433968 0.687342045254622 0.160900621492287 0.0260946558158181 16
"10510" 0.497216980697545 0.700359484352661 0.156209974935242 0.0204978650471858 20
"10517" 0.484349404040909 0.637104922216708 0.141310856443145 0.0187384082777668 13
